"tirag","date","b1","b2","b3","b4","b5","b6","win5","sumWin5","win4","sumWin4","win41","sumWin41","win3","sumWin3","win31","sumWin31","win2","sumWin2","win21","sumWin21","jPot","found"
52,26,9,2,36,5,0,0,0,1,650260,0,0,35,18570,0,0,350,4510,0,0,12045955,4644750
53,14,20,31,4,8,0,0,0,0,0,0,0,39,36580,0,0,440,3930,0,0,13983375,5095750
54,20,17,26,7,13,0,0,0,3,213930,0,0,54,11880,0,0,472,3300,0,0,15728935,4584250
55,14,1,35,31,23,0,0,0,1,744390,0,0,38,19580,0,0,407,4440,0,0,17750767,5317120
56,29,25,31,3,34,0,0,0,0,0,0,0,33,41020,0,0,360,4560,0,0,19588985,4834500
57,12,23,11,28,30,0,0,0,0,0,0,0,40,36800,0,0,513,3480,0,0,21589155,5258000
58,32,15,29,1,25,0,0,0,2,263430,0,0,43,12250,0,0,316,4040,0,0,23021957,3763380
59,10,23,3,12,27,0,0,0,0,0,0,0,54,23130,0,0,455,3330,0,0,24720512,4461880
60,6,20,21,27,26,0,0,0,4,266510,0,0,64,16650,0,0,699,3700,0,0,27616310,7614750
61,2,33,26,19,18,0,0,0,4,502420,0,0,88,22830,0,0,1033,4720,0,0,33074415,14355000
62,3,35,23,34,18,0,0,0,1,1299180,0,0,61,21290,0,0,663,4750,0,0,36606387,9279880
63,16,24,11,29,34,0,0,0,3,544580,0,0,85,19220,0,0,1047,3780,0,0,41047247,11669600
64,27,18,6,25,9,0,0,0,5,321820,0,0,126,12770,0,0,1035,3770,0,0,45424892,11493600
65,28,16,11,30,33,0,0,0,1,2059750,0,0,151,13640,0,0,1293,3860,0,0,51021620,14712500
66,11,34,18,31,33,0,0,0,0,0,0,0,84,44880,0,0,889,5140,0,0,56149320,13464000
67,28,5,21,6,12,0,0,0,7,318250,0,0,151,14750,0,0,1509,3580,0,0,62204512,15912900
68,4,34,15,25,19,0,0,0,4,564120,0,0,114,19790,0,0,1198,4570,0,0,68338020,16117800
69,8,26,17,20,30,0,0,0,17,247610,0,0,369,11400,0,0,3058,3340,0,0,79769132,30067100
70,34,12,33,24,16,0,0,0,4,599010,0,0,107,22390,0,0,1260,4610,0,0,86284617,17114600
71,27,21,19,24,32,0,0,0,5,548240,0,0,151,18150,0,0,1588,4190,0,0,93735715,19580000
72,8,3,1,2,10,0,0,0,8,295580,0,0,132,17910,0,0,1389,4130,0,0,100158135,16890500
73,30,22,6,17,36,0,0,0,3,945230,0,0,217,13060,0,0,1940,3540,0,0,107861862,20255100
74,18,20,1,8,33,0,0,0,5,497760,0,0,139,17900,0,0,1353,4460,0,0,114638132,17777300
75,11,30,32,31,24,0,0,0,4,679040,0,0,137,19820,0,0,1422,4630,0,0,122021300,19401200
76,18,34,35,30,36,0,0,0,6,405950,0,0,97,25110,0,0,1033,5720,0,0,128645907,17397900
77,27,14,2,7,34,0,0,0,15,192670,0,0,205,14090,0,0,1979,3540,0,0,136497275,20644200
78,9,27,10,30,26,0,0,0,0,0,0,0,157,39270,0,0,1858,4020,0,0,144879865,22019200
79,17,25,35,8,14,0,0,0,6,816740,0,0,281,17430,0,0,2884,4120,0,0,158198532,35003400
80,35,27,11,15,14,0,0,0,9,377420,0,0,271,12530,0,0,2216,3720,0,0,167440310,24263200
81,27,29,19,31,22,0,0,0,1,3553350,0,0,194,18310,0,0,2268,3800,0,0,177092422,25381100
82,30,34,31,33,32,0,0,0,25,130830,0,0,128,25550,0,0,1315,6040,0,0,185982627,23362600
83,23,11,34,28,5,0,0,0,4,936220,0,0,262,14290,0,0,2613,3480,0,0,196148420,26749200
84,5,32,27,8,36,0,0,0,3,1154870,0,0,198,17490,0,0,1997,4210,0,0,205554810,24747200
85,5,32,11,22,27,0,0,0,20,191110,0,0,278,13740,0,0,2397,3870,0,0,215937865,27302000
86,26,7,9,1,4,0,0,0,12,287220,0,0,316,10900,0,0,2434,3430,0,0,225302157,24619400
87,16,5,19,10,12,0,0,0,10,462150,0,0,269,17180,0,0,2665,4210,0,0,237870690,33011000
88,4,6,8,30,22,0,0,0,10,378200,0,0,299,12640,0,0,2496,3670,0,0,248140497,27014600
89,1,16,3,8,2,0,0,0,17,260040,0,0,357,12380,0,0,3010,3560,0,0,260167097,31576900
90,7,9,24,6,18,0,0,0,17,223360,0,0,298,12740,0,0,2594,3550,0,0,270495655,27123200
91,33,10,35,13,12,0,0,0,9,516860,0,0,273,17030,0,0,2772,4070,0,0,283135942,33226900
92,4,12,25,35,23,0,0,0,8,553820,0,0,190,23310,0,0,2141,5020,0,0,295179495,31647000
93,22,15,14,1,30,0,0,0,9,678620,0,0,401,15230,0,0,3921,3780,0,0,311771235,43626000
94,31,14,13,5,20,0,0,0,7,565920,0,0,260,15230,0,0,2549,3770,0,0,322535692,28296100
95,24,19,34,6,4,0,0,0,15,292170,0,0,256,17110,0,0,2364,4500,0,0,334444077,31304600
96,19,5,13,12,3,0,0,0,10,408460,0,0,301,13570,0,0,2774,3570,0,0,345539162,29176100
97,24,23,5,16,31,0,0,0,2,2228570,0,0,209,21320,0,0,2320,4660,0,0,357653975,31836800
98,21,1,9,28,26,0,0,0,17,235230,0,0,334,11970,0,0,3003,3230,0,0,368522955,28564200
99,33,20,35,17,13,0,0,0,7,705760,0,0,318,15530,0,0,3203,3740,0,0,381945650,35288000
100,5,35,4,3,20,0,0,0,5,900050,0,0,215,20930,0,0,2467,4430,0,0,394181135,32144800
101,10,16,32,15,4,0,0,0,5,1061210,0,0,288,18420,0,0,3132,4110,0,0,408584060,37900500
